"study","infected_year","tested_year","log_titer"
"smith",1975,1973,3
"smith",1975,1974,3
"smith",1975,1974,4
"smith",1975,1974,5
"smith",1975,1974,3
"smith",1975,1974,4
"smith",1975,1975,2
"smith",1975,1975,3
"smith",1975,1976,3
"smith",1975,1976,6
"smith",1975,1976,4
"smith",1975,1976,6
"smith",1975,1976,6
"smith",1975,1976,6
"smith",1975,1977,8
"smith",1975,1977,6
"smith",1975,1977,6
"smith",1975,1977,6
"smith",1975,1980,2
"smith",1975,1980,2
"smith",1975,1982,1
"smith",1975,1982,2
"smith",1975,1985,1
"smith",1975,1985,2
"smith",1975,1986,1
"smith",1975,1988,1
"smith",1975,1989,1
"smith",1975,1985,1
"smith",1975,1989,1
"smith",1986,1968,0
"smith",1986,1969,0
"smith",1986,1969,0
"smith",1986,1969,0
"smith",1986,1970,0
"smith",1986,1970,0
"smith",1986,1971,0
"smith",1986,1971,0
"smith",1986,1971,0
"smith",1986,1972,0
"smith",1986,1973,0
"smith",1986,1974,0
"smith",1986,1976,3
"smith",1986,1980,6
"smith",1986,1980,6
"smith",1986,1986,8
"smith",1986,1985,7
"smith",1986,1987,4
"smith",1986,1985,5
"smith",1986,1979,4
"smith",1986,1982,4
"smith",1986,1984,5
"smith",1986,1986,6
"smith",1986,1987,3
"smith",1986,1989,3
"smith",1986,1989,3
"smith",1986,1992,0
"smith",1986,1993,0
"smith",1986,1994,0
"smith",1986,1977,5
"smith",1986,1968,0
"smith",1986,1971,0
"smith",1986,1972,0
"smith",1986,1973,0
"smith",1986,1975,2
"smith",1977,1968,1
"smith",1977,1968,1
"smith",1977,1969,1
"smith",1977,1969,1
"smith",1977,1970,1
"smith",1977,1970,1
"smith",1977,1971,1
"smith",1977,1971,2
"smith",1977,1971,2
"smith",1977,1972,3
"smith",1977,1976,3
"smith",1977,1975,1
"smith",1977,1975,1
"smith",1977,1975,2
"smith",1977,1972,2
"smith",1977,1972,3
"smith",1977,1973,2
"smith",1977,1973,3
"smith",1977,1974,0
"smith",1977,1974,2
"smith",1977,1974,1
"smith",1977,1974,1
"smith",1977,1975,2
"smith",1977,1975,3
"smith",1977,1976,7
"smith",1977,1976,3
"smith",1977,1976,7
"smith",1977,1976,3
"smith",1977,1976,3
"smith",1977,1976,2
"smith",1977,1977,3
"smith",1977,1977,2
"smith",1977,1977,4
"smith",1977,1977,3
"smith",1977,1980,5
"smith",1977,1980,6
"smith",1977,1982,4
"smith",1977,1985,4
"smith",1977,1986,4
"smith",1977,1988,2
"smith",1977,1985,3
"smith",1977,1988,1
"smith",1977,1987,1
"smith",1977,1987,2
"smith",1977,1981,6
"smith",1977,1982,7
"smith",1977,1985,5
"smith",1977,1979,5
"smith",1977,1984,5
"smith",1977,1986,3
"smith",1977,1988,2
"smith",1977,1988,1
"smith",1977,1988,2
"smith",1977,1989,1
"smith",1977,1977,4
"smith",1977,1985,3
"smith",1972,1968,6
"smith",1972,1972,7
"smith",1972,1974,6
"smith",1972,1975,5
"smith",1972,1977,4
"smith",1972,1980,0
"smith",1972,1980,0
"smith",1972,1982,0
"smith",1972,1982,0
"smith",1972,1985,0
"smith",1972,1985,0
"smith",1972,1986,0
"smith",1972,1988,0
"smith",1972,1989,0
"smith",1972,1990,0
"smith",1972,1991,0
"smith",1972,1993,0
"smith",1972,1993,0
"smith",1972,1993,0
"smith",1972,1995,0
"smith",1974,1968,5
"smith",1974,1972,7
"smith",1974,1974,7
"smith",1974,1975,7
"smith",1974,1977,6
"smith",1974,1980,3
"smith",1974,1980,3
"smith",1974,1982,0
"smith",1974,1982,0
"smith",1974,1985,0
"smith",1974,1985,0
"smith",1974,1986,0
"smith",1974,1988,0
"smith",1974,1989,0
"smith",1974,1990,0
"smith",1974,1991,0
"smith",1974,1993,0
"smith",1974,1993,0
"smith",1974,1993,0
"smith",1974,1995,0
"smith",1977,1968,0
"smith",1977,1968,1
"smith",1977,1969,1
"smith",1977,1969,1
"smith",1977,1970,1
"smith",1977,1970,1
"smith",1977,1971,1
"smith",1977,1971,1
"smith",1977,1971,1
"smith",1977,1972,1
"smith",1977,1972,0
"smith",1977,1972,1
"smith",1977,1972,1
"smith",1977,1973,1
"smith",1977,1973,1
"smith",1977,1973,1
"smith",1977,1974,0
"smith",1977,1974,1
"smith",1977,1975,0
"smith",1977,1976,7
"smith",1977,1976,7
"smith",1977,1976,7
"smith",1977,1976,7
"smith",1977,1977,8
"smith",1977,1977,7
"smith",1977,1977,7
"smith",1977,1977,8
"smith",1977,1980,4
"smith",1977,1980,5
"smith",1977,1982,4
"smith",1977,1982,4
"smith",1977,1988,2
"smith",1977,1989,2
"smith",1977,1990,0
"smith",1977,1991,0
"smith",1977,1993,0
"smith",1977,1993,0
"smith",1977,1993,0
"smith",1977,1995,0
"smith",1977,1989,1
"smith",1978,1968,0
"smith",1978,1968,1
"smith",1978,1969,1
"smith",1978,1969,1
"smith",1978,1970,1
"smith",1978,1970,1
"smith",1978,1971,1
"smith",1978,1971,1
"smith",1978,1971,1
"smith",1978,1972,1
"smith",1978,1972,0
"smith",1978,1972,1
"smith",1978,1972,1
"smith",1978,1973,1
"smith",1978,1973,1
"smith",1978,1973,1
"smith",1978,1974,0
"smith",1978,1974,1
"smith",1978,1975,0
"smith",1978,1976,3
"smith",1978,1976,3
"smith",1978,1976,3
"smith",1978,1976,3
"smith",1978,1977,0
"smith",1978,1977,3
"smith",1978,1977,2
"smith",1978,1977,3
"smith",1978,1980,8
"smith",1978,1980,7
"smith",1978,1982,6
"smith",1978,1982,6
